brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_year_only
3,412,0,2024,3,1197.0,3295.0,1,974000,18535.0,0.0,1,2024.0
6,356,1,2020,3,1198.0,19376.0,1,474000,9269.0,0.0,1,2020.0
9,384,1,2022,3,999.0,31760.0,1,556000,10879.0,0.0,0,2022.0
6,784,1,2021,3,1997.0,37303.0,1,1473000,28037.0,0.0,1,2021.0
7,71,1,2022,3,1197.0,25782.0,1,657000,12844.0,0.0,0,2022.0
3,690,1,2022,3,1197.0,25523.0,1,909000,17293.0,0.0,0,2022.0
3,159,1,2022,3,1497.0,19352.0,1,1103000,20995.0,0.0,1,2022.0
2,141,1,2021,3,1498.0,28398.0,1,1078000,20519.0,0.0,0,2021.0
7,197,1,2017,3,1197.0,22148.0,1,467000,9128.0,0.0,0,2017.0
3,711,1,2013,3,1591.0,75331.0,1,378000,9943.0,0.0,0,2013.0
2,39,1,2020,3,1199.0,52036.0,1,573000,11202.0,0.0,0,2020.0
7,619,1,2022,3,1197.0,24626.0,1,757000,14792.0,0.0,0,2022.0
7,723,0,2019,1,1248.0,86677.0,1,632000,14068.0,0.0,1,2019.0
9,385,1,2022,3,999.0,18222.0,1,614000,12007.0,0.0,1,2022.0
2,141,1,2021,3,1498.0,5404.0,1,1251000,23807.0,0.0,1,2021.0
7,76,1,2020,3,1197.0,72471.0,2,572000,11192.0,0.0,0,2021.0
10,369,0,2017,3,999.0,47819.0,2,292000,5709.0,0.0,0,2017.0
14,53,1,2018,3,999.0,40904.0,1,471000,9208.0,0.0,0,2018.0
7,92,1,2022,3,998.0,12708.0,1,494000,9658.0,0.0,0,2022.0
9,384,1,2022,3,999.0,36341.0,1,551000,10772.0,0.0,1,2022.0
7,332,1,2022,3,1197.0,17745.0,1,525000,10258.0,0.0,1,2022.0
9,384,1,2021,3,999.0,30455.0,1,522000,10205.0,0.0,1,2021.0
3,301,1,2018,3,1197.0,40398.0,1,396000,7742.0,0.0,0,2018.0
7,744,1,2017,3,998.0,60446.0,1,350000,6851.0,0.0,0,2017.0
10,381,1,2016,3,999.0,20709.0,1,262000,5126.0,0.0,0,2016.0
2,133,1,2017,3,1497.0,78608.0,1,578000,11300.0,0.0,1,2017.0
0,510,1,2018,3,799.0,84695.0,1,207000,4039.0,0.0,0,2018.0
7,740,1,2018,0,998.0,56257.0,1,367000,7175.0,0.0,1,2018.0
7,619,1,2018,3,1197.0,27356.0,2,569000,11122.0,0.0,0,2019.0
7,115,1,2019,1,1498.0,61329.0,1,702000,15616.0,0.0,0,2019.0
3,681,1,2020,1,1396.0,46446.0,1,734000,14357.0,0.0,0,2020.0
10,369,0,2017,3,999.0,41308.0,3,285000,5580.0,0.0,0,2017.0
12,664,1,2018,3,1199.0,94259.0,1,384000,7506.0,0.0,1,2018.0
2,342,1,2016,3,1199.0,79166.0,1,382000,7461.0,0.0,0,2016.0
3,422,1,2019,3,1086.0,61839.0,2,397000,7761.0,0.0,1,2019.0
7,72,1,2020,3,1197.0,46628.0,1,522000,10205.0,0.0,0,2020.0
7,740,1,2018,0,998.0,87192.0,1,374000,7317.0,0.0,1,2018.0
12,430,1,2022,1,1497.0,45834.0,1,804000,15299.0,0.0,0,2022.0
7,332,1,2022,3,1197.0,18015.0,1,528000,10323.0,0.0,1,2022.0
12,430,1,2020,1,1497.0,52276.0,1,718000,14045.0,0.0,0,2020.0
1,263,1,2018,3,1194.0,87411.0,2,442000,8634.0,0.0,1,2018.0
7,332,1,2019,3,1197.0,47484.0,1,431000,8416.0,0.0,0,2019.0
3,680,1,2021,3,1197.0,19866.0,1,765000,14949.0,0.0,1,2021.0
7,26,1,2023,3,998.0,21607.0,1,467000,9130.0,0.0,0,2023.0
3,301,1,2015,3,1197.0,62536.0,1,311000,6080.0,0.0,0,2015.0
8,315,1,2019,1,1956.0,33306.0,1,1286000,27961.0,0.0,0,2019.0
3,173,0,2019,1,1582.0,67168.0,1,1037000,22547.0,0.0,1,2019.0
1,212,1,2019,1,1498.0,27603.0,3,670000,14904.0,0.0,1,2019.0
7,76,1,2020,3,1197.0,36323.0,2,652000,12749.0,0.0,1,2020.0
3,673,1,2018,3,1999.0,43368.0,1,1225000,23315.0,0.0,0,2018.0
3,161,1,2019,1,1396.0,51919.0,2,815000,17720.0,0.0,0,2019.0
7,122,1,2022,3,1462.0,15994.0,1,872000,16598.0,0.0,1,2022.0
2,137,1,2016,3,1497.0,72308.0,1,523000,10225.0,0.0,0,2016.0
2,39,1,2018,3,1199.0,27051.0,1,515000,10068.0,0.0,1,2018.0
12,627,1,2018,3,1199.0,35764.0,1,421000,8231.0,0.0,0,2018.0
10,360,1,2021,3,999.0,46375.0,2,654000,12788.0,0.0,0,2023.0
