Model,Train R²,Train RMSE,Train MAE,Test R²,Test RMSE,Test MAE
Linear Regression,0.9631870828947875,59005.46546851233,42479.33202602451,0.9672640668452577,59005.46546851233,41190.53276320195
Random Forest,0.9987789987084317,11614.777606556003,3116.6027641551495,0.9960250505057375,20561.068762666535,6992.406417112299
Decision Tree,1.0,0.0,0.0,0.9934296603215923,26434.663679537658,7351.158645276292
XGBoost,0.999953031539917,2278.231112069186,1600.151611328125,0.9913842678070068,30270.935499254065,8874.9130859375
